great,hd,pos
hot,hd,pos
cold,hd,neg
right,max,pos
full,max,pos
real,max,pos
certain,max,pos
clear,max,pos
sure,max,pos
whole,max,pos
free,max,neg
necessary,max,pos
natural,max,pos
final,max,pos
modern,max,pos
normal,max,pos
dead,max,neg
total,max,pos
basic,max,pos
original,max,pos
aware,max,pos
complete,max,pos
independent,max,neg
essential,max,pos
obvious,max,pos
different,min,neg
possible,min,pos
early,min,?
late,min,?
similar,min,pos
open,min,neg
significant,min,pos
appropriate,min,pos
new,r,neg
good,r,pos
old,r,pos
high,r,pos
small,r,neg
large,r,pos
long,r,pos
important,r,pos
young,r,neg
big,r,pos
far,r,pos
little,r,neg
low,r,neg
bad,r,neg
general,r,pos
likely,r,pos
special,r,pos
difficult,r,neg
common,r,pos
strong,r,pos
central,r,pos
short,r,neg
easy,r,pos
poor,r,neg
simple,r,neg
recent,r,neg
wide,r,pos
hard,r,pos
fine,r,pos
wrong,r,neg
nice,r,pos
close,r,neg
happy,r,pos
concerned,r,pos
serious,r,pos
sorry,r,pos
specific,r,pos
successful,r,pos
popular,r,pos
heavy,r,pos
dark,r,neg
ready,r,pos
useful,r,pos
effective,r,pos
traditional,r,pos
direct,r,pos
interesting,r,pos
considerable,r,pos
responsible,r,pos
beautiful,r,pos
light,r,neg
deep,r,pos
positive,r,pos
