104,1721,17,59,9,6,6,37,18,3,0,1,0,23,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,2,6,0,0,1,0,0,2,1,0,0
23,26,156,15,4,9,3,62,6,0,1,0,0,5,6,15,0,0,5,1,1,2,1,0,15,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0
422,20,23,398,25,104,3,87,41,111,22,4,16,500,726,2115,9,311,327,49,19,86,41,1,32,1,0,0,2,1,1,135,3,1,20,0,1,0,0,3
32776,4258,180,10287,129,1611,32,708,407,51,3,0,12,30,15,30,585,738,16,53,24,22753,18,606,179,5,0,0,15,2,10,9,11,5,1,6,106,5,4,182
1440,105,29,385,34,118,10,267,107,15,0,1,17,32,1,1,31,41,2,0,21,123,8,1,103,2,0,1,0,6,240,0,0,0,0,2,22,0,0,9
636,252,7,1747,3,18,6,64,70,6,0,1,1,15,0,1,9,1,12,74,3,211,0,5,9,1,0,0,1,1,0,0,0,0,0,0,3,0,1,15
6849,336,36,471,91,458,11,285,152,18,4,2,22,9,2,4,1229,497,7,10,13,769,16,2,34,0,0,3,0,5,8,0,1,0,0,1,8,0,39,134
5568,364,8,246,205,386,2,90,7,3,17,0,9,14,10,1,302,378,0,1,6,281,27,4,233,4,0,0,1,4,4,1,0,3,0,3,4,0,1,56
12838,668,25,876,207,2601,24,39,2,3,3,1,2397,174,3455,2635,69,13,2771,43,13,48,990,1,15,4,26,0,0,2,8,153,8,0,112,2,0,0,17,14
4264,136,15,115,323,291,0,146,140,1,3,3,3,8,0,1,174,357,4,1,5,101,15,0,52,0,0,2,0,3,29,0,1,1,0,0,10,0,8,33
76,10,2,21,1,5,0,7,0,3,6,0,0,2,2,17,10,3,1,2,1,4,0,0,44,0,0,1,9,0,0,3,0,0,1,0,0,0,0,1
177,1,25,6,3,5,0,6,0,1,42,0,0,0,1,3,8,1,1,0,2,3,0,0,11,0,0,0,41,0,0,0,0,0,0,0,0,0,0,3
5884,544,137,356,83,120,47,291,146,7,1,1,11,1,2,11,186,122,0,2,1,191,13,2,10,2,0,2,0,12,11,0,0,1,0,0,11,0,5,63
15353,4170,20,2805,60,191,17,247,237,14,64,2,19,11,6,1,1585,59,6,36,0,301,86,0,5,10,0,0,0,1,0,0,0,0,3,0,5,0,216,352
3359,154,14,190,25,155,5,34,9,2,7,3,13,3,1,6,50,110,1,1,13,421,6,0,413,1,0,0,1,0,7,0,1,2,0,1,0,0,0,12
23,3,3,3,0,0,17,3,3,0,1,7,2,0,4,0,2,0,0,0,0,1,0,0,2,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0
